distro,version,module,package,arch,build_id,source_url
ubuntu,17.2.7-0ubuntu0.22.04.1,ceph-osd,ceph-osd,amd64,cda98ccdb608a670dd7e01f5c5f41bddee9ec2c7,https://launchpad.net/ubuntu/+source/ceph/17.2.7-0ubuntu0.22.04.1/+build/27852829/+files/ceph-osd_17.2.7-0ubuntu0.22.04.1_amd64.deb
ubuntu,17.2.7-0ubuntu0.22.04.2,libceph-common.so.2,librados2,amd64,8e95b1bfe63e7389cb79c6004d83cc09740a8db6,https://launchpad.net/~ubuntu-security-proposed/+archive/ubuntu/ppa/+build/29860348/+files/librados2_17.2.7-0ubuntu0.22.04.2_amd64.deb
ubuntu,17.2.7-0ubuntu0.22.04.2,librados.so.2,librados2,amd64,36b8f62bbf6399f81a7182b8b086bc440e62cf0e,https://launchpad.net/~ubuntu-security-proposed/+archive/ubuntu/ppa/+build/29860348/+files/librados2_17.2.7-0ubuntu0.22.04.2_amd64.deb
ubuntu,17.2.7-0ubuntu0.22.04.2,librbd.so.1,librbd1,amd64,19b1be8cdc9f193a53da13e3e8a69f22dd272bc4,https://launchpad.net/~ubuntu-security-proposed/+archive/ubuntu/ppa/+build/29860348/+files/librbd1_17.2.7-0ubuntu0.22.04.2_amd64.deb
ubuntu,17.2.7-0ubuntu0.22.04.2,ceph-osd,ceph-osd,amd64,0d21298ec69fb32a3c78996a1ffcaf9e70ca8ba7,https://launchpad.net/~ubuntu-security-proposed/+archive/ubuntu/ppa/+build/29860348/+files/ceph-osd_17.2.7-0ubuntu0.22.04.2_amd64.deb
ubuntu,17.2.9-0ubuntu0.22.04.1,libceph-common.so.2,librados2,amd64,377e998560a9285eccfa13858e549388418a5262,https://launchpad.net/ubuntu/+source/ceph/17.2.9-0ubuntu0.22.04.1/+build/31308467/+files/librados2_17.2.9-0ubuntu0.22.04.1_amd64.deb
ubuntu,17.2.9-0ubuntu0.22.04.1,librados.so.2,librados2,amd64,9eb36079123e5d0c82aa570ecfb39509e00630ff,https://launchpad.net/ubuntu/+source/ceph/17.2.9-0ubuntu0.22.04.1/+build/31308467/+files/librados2_17.2.9-0ubuntu0.22.04.1_amd64.deb
ubuntu,17.2.9-0ubuntu0.22.04.1,librbd.so.1,librbd1,amd64,d4f4b4a472dd702d803a2e52df299e9759113395,https://launchpad.net/ubuntu/+source/ceph/17.2.9-0ubuntu0.22.04.1/+build/31308467/+files/librbd1_17.2.9-0ubuntu0.22.04.1_amd64.deb
ubuntu,17.2.9-0ubuntu0.22.04.1,ceph-osd,ceph-osd,amd64,a688608a8d0f7c30e67c81eaf6a476de7567fa71,https://launchpad.net/ubuntu/+source/ceph/17.2.9-0ubuntu0.22.04.1/+build/31308467/+files/ceph-osd_17.2.9-0ubuntu0.22.04.1_amd64.deb
ubuntu,17.2.9-0ubuntu0.22.04.1~cloud0,libceph-common.so.2,librados2,amd64,31393363d4adfc6ba4c8e4e58ba7a84792193077,https://ubuntu-cloud.archive.canonical.com/ubuntu/pool/main/c/ceph/librados2_17.2.9-0ubuntu0.22.04.1~cloud0_amd64.deb
ubuntu,17.2.9-0ubuntu0.22.04.1~cloud0,librados.so.2,librados2,amd64,f2dbc3fd0e66e74c4c5582daaad7345f855cc082,https://ubuntu-cloud.archive.canonical.com/ubuntu/pool/main/c/ceph/librados2_17.2.9-0ubuntu0.22.04.1~cloud0_amd64.deb
